Date       AdjClose
11/12/14   109.38624
11/11/14   107.862204
11/10/14   107.006784
11/7/14   107.183769
11/6/14   106.878957
11/5/14   106.574152
11/4/14   106.319609
11/3/14   107.102814
10/31/14   105.732209
10/30/14   104.733631
10/29/14   105.086065
10/28/14   104.498665
10/27/14   102.902894
10/24/14   103.010585
10/23/14   102.628775
10/22/14   100.827408
10/21/14   100.31833
10/20/14   97.665236
10/17/14   95.619118
10/16/14   94.238729
10/15/14   95.49185
10/14/14   96.676442
10/13/14   97.714181
10/10/14   98.614869
10/9/14   98.898773
10/8/14   98.683398
10/7/14   96.676442
10/6/14   97.528176
10/3/14   97.528176
10/2/14   97.802295
10/1/14   97.097413
9/30/14   98.634445
9/29/14   98.007885
9/26/14   98.634445
9/25/14   95.814922
9/24/14   99.613447
9/23/14   100.484758
9/22/14   98.937934
9/19/14   98.840035
9/18/14   99.652608
9/17/14   99.447019
9/16/14   98.742136
9/15/14   99.495964
9/12/14   99.525341
9/11/14   99.300167
9/10/14   98.879196
9/9/14   95.932398
9/8/14   96.294631
9/5/14   96.891823
9/4/14   96.059673
9/3/14   96.862454
9/2/14   101.130903
8/29/14   100.347699
8/28/14   100.102948
8/27/14   99.985465
8/26/14   98.771505
8/25/14   99.407858
8/22/14   99.192476
8/21/14   98.468017
8/20/14   98.458225
8/19/14   98.419064
8/18/14   97.077836
8/15/14   95.922613
8/14/14   95.452689
8/13/14   95.198146
8/12/14   93.954817
8/11/14   93.974394
8/8/14   92.750642
8/7/14   92.496107
8/6/14   92.505895
8/5/14   92.661763
8/4/14   93.11961
8/1/14   93.645656
7/31/14   93.129354
7/30/14   95.613456
7/29/14   95.837508
7/28/14   96.460967
7/25/14   95.145858
7/24/14   94.522398
7/23/14   94.678267
7/22/14   92.272099
7/21/14   91.512258
7/18/14   91.989593
7/17/14   90.684219
7/16/14   92.330546
7/15/14   92.856591
7/14/14   93.957386
7/11/14   92.759177
7/10/14   92.583829
7/9/14   92.924782
7/8/14   92.885815
